jobid,submit,start,end,nnodes,duration,max_memory,randomness
447,170565917,170572065,170573125,256,1059,476,0.8525618319796939
448,170565917,170565917,170565946,2,28,22,0.827572882998388
449,170565918,170565918,170565946,2,27,22,0.8797272613061532
450,170565919,170565919,170565946,2,26,23,0.5219315876252796
451,170565920,170572291,170573346,256,1055,381,0.3556627789745459
452,170565920,170573129,170574189,256,1060,476,0.6007742523697386
453,170565920,170573348,170574396,256,1047,382,0.4655963055142428
454,170565920,170574191,170575254,256,1062,473,0.1880303203609306
455,170565921,170574399,170575453,256,1054,382,0.4789018253046523
456,170565921,170569393,170569498,1,104,26,0.14704580845324955
2127,170565921,170569381,170569490,1,109,25,0.23181136113461454
2128,170565921,170569381,170569490,1,109,25,0.953183984942155
2129,170565921,170569381,170569490,1,109,26,0.7184613313316286
2133,170565921,170569393,170569498,1,105,47,0.016901729363009266
457,170565923,170565923,170565937,1,14,17,0.40767064431323374
458,170565934,170565934,170565948,1,14,17,0.07269476819883691
459,170565950,170565950,170565977,2,27,107,0.6929614770342962
460,170565957,170565958,170565983,2,25,23,0.2633736313210182
461,170565958,170565958,170565983,2,24,22,0.5504701089763789
462,170565959,170565959,170565977,2,17,22,0.15521651876166798
463,170565960,170565960,170565978,2,17,24,0.003759218765886252
464,170565961,170565961,170565985,2,23,69,0.12892220905038632
465,170565973,170565979,170565992,1,13,26,0.5914503508709168
466,170565974,170565974,170565983,1,8,16,0.6169343120936419
467,170565994,170565996,170566034,2,38,27,0.9222239759853447
468,170565994,170565994,170566004,1,10,26,0.9836811055578589
469,170565999,170565999,170566008,1,8,16,0.2566479172995564
