jobid,submit,start,end,nnodes,duration,memory
2961619,166031492,166031492,166032046,2,553,77
2961628,166030967,166030967,166031690,1,723,132
2961647,166031492,166031492,166032040,2,547,76
2961649,166031036,166031036,166031440,1,404,445
2961655,166031038,166031038,166031448,1,410,447
2961709,166031042,166031042,166031431,1,388,445
2961712,166031090,166031090,166031472,1,382,445
2961722,166031108,166031108,166031490,1,382,445
2961781,166031074,166031074,166031437,1,363,31
2961786,166031674,166031674,166035998,4,4322,47
2961787,166031674,166031674,166035998,4,4322,47
2961788,166031929,166031929,166036251,4,4322,48
2961789,166031947,166031947,166036270,4,4322,49
2961795,166032541,166032541,166036864,4,4322,48
2961796,166032937,166032937,166037259,4,4322,49
2961797,166033321,166033321,166037642,4,4321,47
2961800,166033340,166033340,166037660,4,4320,44
2961801,166031141,166031141,166031528,1,387,445
2961802,166033342,166033342,166037663,4,4321,46
2961803,166033433,166033433,166037754,4,4321,43
2961804,166033433,166033433,166037754,4,4321,47
2961805,166034557,166034557,166038879,4,4321,46
2961806,166034636,166034636,166038957,4,4320,47
2961808,166034759,166034759,166039081,4,4321,46
2961809,166036934,166036934,166041257,4,4322,47
2961813,166031151,166031151,166031546,1,395,445
2961840,166031129,166031129,166032573,4,1443,318
2961845,166031492,166031492,166031937,1,445,139
2961851,166031675,166031675,166032036,1,361,87
2961863,166031195,166031195,166031586,1,391,444
2961867,166031228,166031228,166031631,1,402,446
2961904,166031674,166031674,166035997,3,4322,48
2961919,166031258,166031258,166031689,1,430,446
2961927,166031218,166031218,166033341,1,2123,99
2961929,166031279,166031279,166031649,1,369,443
2961991,166031323,166031323,166031693,1,369,447
2962062,166031357,166031357,166031772,1,415,444
2962064,166031566,166031566,166032120,2,554,77
2962079,166031367,166031367,166031760,1,392,443
2962094,166031674,166031674,166032220,2,545,77
2962095,166031406,166031406,166031781,1,374,442
2962103,166031441,166031441,166031847,1,406,445
2962106,166031451,166031451,166031923,1,471,459
2962107,166031474,166031474,166031979,1,505,487
2962116,166031492,166031492,166031981,1,488,446
2962120,166031500,166031500,166031986,1,485,442
2962121,166031522,166031522,166032004,1,481,467
2962122,166031492,166031492,166031897,1,405,445
2962123,166031562,166031562,166032027,1,464,434
2962129,166031587,166031587,166032061,1,474,456
2962132,166031700,166031700,166032178,1,477,441
2962153,166031492,166031492,166031934,1,441,444
2962170,166031675,166031675,166033319,16,1643,211
2962181,166031494,166031494,166031907,1,413,448
2962182,166031494,166031494,166031929,1,435,444
2962184,166031675,166031675,166035494,5,3818,159
2962185,166031675,166031675,166033326,5,1650,161
